"sexo";"edad";"peso";"talla"
"hembra";5,42;23;120,5
"hembra";5,5;24,5;122
"hembra";5,5;18;113
"hembra";5,58;20,5;110
"hembra";5,83;26;134,2
"varon";5,83;20;121,5
"varon";6;20;113,8
"varon";6;20;116,6
"hembra";6,08;18;112
"hembra";6,08;18;116
"hembra";6,25;20;110,7
"varon";6,25;17;110,7
"hembra";6,25;23,5;118,1
"varon";6,25;23;112,8
"varon";6,33;26,5;125,9
"hembra";6,33;27;126,5
"hembra";6,33;25,5;120,7
"varon";6,42;22,5;116,6
"varon";6,42;36,5;125,5
"varon";6,42;18,5;115,7
"hembra";6,42;37,5;120,4
"varon";6,42;22;117,6
"varon";6,42;23;121,2
"hembra";6,42;19;115,6
"hembra";6,5;31;122,6
"varon";6,5;22;120,6
"varon";6,58;23;120,1
"hembra";6,58;20;116
"hembra";6,58;23,5;120
"hembra";6,58;25,5;119,3
"hembra";6,58;19,5;114
"varon";6,67;19;114,9
"hembra";6,67;28,5;126,1
"varon";6,67;37;127,7
"hembra";6,67;20,5;116,5
"varon";6,67;19;122,2
"hembra";6,67;26;124
"hembra";6,75;28;120,8
"hembra";6,75;19;117,5
"hembra";6,75;20;119
"hembra";6,75;20,5;115,6
"varon";6,75;17;121,1
"varon";6,75;20;120,9
"varon";6,75;23,5;123,8
"hembra";6,75;20,5;119
"hembra";6,83;18,5;120
"hembra";6,83;21;117,2
"hembra";6,83;21;116
"varon";6,83;22,5;116
"varon";6,83;23;125
"varon";6,83;20;119,1
"varon";6,83;24;127,2
"hembra";6,83;22;121,3
"varon";6,83;22,5;118,3
"varon";6,83;27;127,9
"hembra";6,83;24,5;120
"hembra";6,92;22,5;121,2
"hembra";6,92;26;129,5
"varon";6,92;28;126,6
"hembra";6,92;28;125
"hembra";6,92;24;123
"varon";6,92;30;139,2
"varon";7;21,5;118,6
"hembra";7;24;121,8
"varon";7;22,5;121
"hembra";7;24,5;118,2
"varon";7,08;23,5;124,4
"hembra";7,08;28,5;124
"varon";7,08;20;116,7
"varon";7,08;24;127
"hembra";7,08;24;126,8
"varon";7,08;23,5;126,1
"hembra";7,08;26;124,2
"varon";7,08;27;128
"varon";7,08;21,5;118,1
"hembra";7,08;23;119,8
"hembra";7,08;21,5;123,2
"hembra";7,17;24;119,5
"varon";7,17;31;127,6
"varon";7,17;20,5;118,7
"hembra";7,17;25,5;124
"varon";7,17;27;132,2
"hembra";7,17;29;127,7
"hembra";7,17;23;123,8
"varon";7,17;20;120,5
"hembra";7,25;22;121
"varon";7,25;24;123,6
"varon";7,25;21;117,5
"hembra";7,25;20,5;123,2
"varon";7,25;18,5;111
"hembra";7,25;29;127,7
"hembra";7,25;21,5;123,2
"varon";7,25;22;119,9
"varon";7,25;21;119,3
"hembra";7,25;22,5;124,3
"hembra";7,25;26;134
"hembra";7,33;23,5;121,2
"hembra";7,33;25;123,6
"hembra";7,33;20,5;122,7
"hembra";7,33;25;131
"varon";7,33;20;125,6
"hembra";7,33;30;129,5
"hembra";7,42;30;126
"varon";7,42;28,5;124,7
"hembra";7,42;17;111
"varon";7,42;21;123,4
"hembra";7,42;25;128
"varon";7,42;30;135,5
"varon";7,42;21;120,8
"varon";7,42;32;126,6
"varon";7,5;28;126,3
"hembra";7,5;21;117
"varon";7,5;22;123,1
"varon";7,5;25;123,3
"varon";7,5;20;118,5
"hembra";7,5;21;122
"varon";7,58;24;126,6
"hembra";7,58;20;116
"varon";7,58;22;125,7
"hembra";7,58;29;132
"varon";7,58;18;115,4
"hembra";7,58;27,5;123,6
"hembra";7,58;22,5;117,2
"hembra";7,67;21;125,5
"varon";7,67;20;118,4
"hembra";7,67;25;120,5
"hembra";7,67;21;120,9
"varon";7,67;35;133,5
"varon";7,67;41;137,2
"varon";7,67;23,5;123,9
"varon";7,75;25;127,3
"hembra";7,75;18;117,7
"hembra";7,75;27;126,9
"varon";7,75;25;126,3
"hembra";7,75;38;135,3
"varon";7,75;25;124
"hembra";7,83;21,5;120,8
"hembra";7,83;23;119,5
"varon";7,83;26,5;127,4
"varon";7,83;24;124,5
"hembra";7,83;19,5;120,4
"varon";7,83;23,5;127,1
"varon";7,83;33;138,5
"varon";7,83;27;130,9
"hembra";7,92;25;121,1
"hembra";7,92;21,5;125
"varon";7,92;34;133,8
"hembra";7,92;20;125
"varon";7,92;29;131,8
"varon";8;26;130,6
"varon";8;30,5;139,9
"varon";8;39;137,1
"varon";8;35;131,8
"varon";8;29,5;130,2
"hembra";8;22,5;121,1
"varon";8,08;25;125,6
"varon";8,08;27,5;123,9
"hembra";8,08;24;119,1
"varon";8,08;33;136,6
"varon";8,08;23;123,3
"varon";8,08;21,5;119,6
"hembra";8,17;36;131,7
"hembra";8,17;24,5;126,5
"varon";8,17;26,5;130,7
"hembra";8,17;33;138,4
"varon";8,17;27;124,6
"hembra";8,17;31;127,2
"hembra";8,17;25;119,5
"hembra";8,17;26,5;130,7
"varon";8,17;23,5;127,1
"hembra";8,17;27;133
"varon";8,17;37;129,1
"varon";8,25;25;122,1
"hembra";8,25;23,5;122,5
"varon";8,25;26;125,7
"hembra";8,25;31;137
"hembra";8,25;26;129,5
"hembra";8,25;41,5;138,5
"varon";8,25;37;134,9
"varon";8,25;24;129,5
"hembra";8,25;24;119,7
"varon";8,25;25;127
"hembra";8,25;25;126
"varon";8,25;26;132,7
"hembra";8,33;21;125,2
"varon";8,33;25,5;125,6
"varon";8,33;31;138,4
"varon";8,33;26,5;126,3
"varon";8,33;32,5;134,4
"varon";8,33;26;127,7
"hembra";8,33;28,5;126,2
"varon";8,33;24;119,9
"varon";8,33;26;125,7
"hembra";8,33;32;133,5
"varon";8,33;27;131,1
"varon";8,33;28;133,9
"hembra";8,33;21;122,5
"varon";8,33;22;122,6
"varon";8,42;34;136,8
"hembra";8,42;27,5;126,1
"varon";8,42;25;127
"hembra";8,42;31;134
"varon";8,42;22;123,8
"hembra";8,42;25;125,5
"hembra";8,42;26;128,1
"hembra";8,42;23;124,3
"hembra";8,42;25;115,7
"hembra";8,42;32;128,5
"varon";8,42;26;128,8
"hembra";8,5;25;127,2
"varon";8,5;30;134,9
"hembra";8,5;22,5;128,7
"varon";8,5;37;134,9
"hembra";8,5;25,5;122
"varon";8,5;26;133
"hembra";8,5;29;127,1
"hembra";8,5;30,5;126,8
"varon";8,5;23;117,9
"varon";8,5;26,5;125,2
"hembra";8,58;21,5;127
"varon";8,58;37,5;140
"varon";8,58;37;140,5
"hembra";8,58;31;133
"hembra";8,58;31,5;128
"varon";8,58;33;140
"hembra";8,67;29;131,6
"hembra";8,67;33;135
"hembra";8,67;34;134
"varon";8,67;30;136
"varon";8,67;45;141,6
"varon";8,67;27,5;131,9
"hembra";8,67;30;126
"varon";8,67;33,5;141,2
"hembra";8,67;24,5;129
"varon";8,67;27;128,9
"hembra";8,67;31;134
"varon";8,75;31;141,1
"hembra";8,75;30,5;141
"varon";8,75;28,5;133,2
"hembra";8,75;46,5;145
"hembra";8,75;25;126,5
"hembra";8,83;30;135
"hembra";8,83;19;116
"varon";8,83;36;144,3
"hembra";8,83;31,5;128,9
"varon";8,83;20;126,4
"hembra";8,83;28,5;132,4
"hembra";8,83;28;139
"varon";8,83;32,5;136
"hembra";8,83;26,5;134,4
"hembra";8,83;21,5;122
"varon";8,92;31;139,4
"hembra";8,92;32,5;130,6
"hembra";8,92;28,5;130,5
"hembra";8,92;26;127,5
"varon";8,92;30;131,4
"varon";8,92;30;136,4
"hembra";8,92;32,5;138,3
"hembra";8,92;28,5;135,5
"varon";8,92;29;138,5
"varon";8,92;25;131,6
"varon";9;34;144,3
"varon";9;39,5;146,5
"hembra";9;26;130,1
"varon";9;27;129,1
"varon";9;25,5;130,2
"varon";9;23,5;130,1
"varon";9;20;120,2
"varon";9;40;136,8
"hembra";9;26;127,9
"varon";9;32;133,1
"hembra";9;25,5;120,4
"hembra";9;29;139
"varon";9;31,5;132,2
"hembra";9,08;26;133
"hembra";9,08;27;132,6
"hembra";9,08;32;129
"hembra";9,08;25;131,1
"varon";9,08;34,5;139,3
"varon";9,08;25;125,7
"hembra";9,08;29;131,3
"hembra";9,08;33;134,5
"hembra";9,08;31;139
"hembra";9,08;33,5;131,6
"hembra";9,08;33,5;132,8
"hembra";9,17;26,5;126,8
"varon";9,17;24;126,2
"varon";9,17;22;117,5
"varon";9,17;30;132,2
"hembra";9,17;25;124,7
"hembra";9,17;29,5;137,5
"varon";9,17;26;130,2
"hembra";9,17;43,5;149
"hembra";9,17;43;138
"varon";9,17;36;135,1
"varon";9,17;27,5;136,9
"varon";9,17;34;135,6
"hembra";9,25;25;132,2
"varon";9,25;32,5;141,1
"hembra";9,25;29;138,4
"hembra";9,25;27;127,6
"hembra";9,25;23;128,8
"hembra";9,25;24,5;126,3
"hembra";9,25;37;141,4
"hembra";9,25;22,5;125,5
"hembra";9,25;22,5;129,4
"varon";9,25;34;141,8
"hembra";9,25;24;130,4
"varon";9,33;28;128,3
"varon";9,33;26,5;137,7
"varon";9,33;26;128,5
"hembra";9,33;32,5;141,6
"varon";9,33;26,5;140,1
"varon";9,33;30;134,8
"varon";9,33;42;137
"varon";9,33;33;136
"hembra";9,33;32,5;129,5
"hembra";9,33;48,5;131,9
"varon";9,33;29;132,2
"varon";9,33;26,5;135,2
"hembra";9,33;26;130,8
"varon";9,33;31,5;138,4
"varon";9,33;31,5;134,9
"varon";9,33;32;137,1
"hembra";9,33;23,5;123,4
"varon";9,33;28,5;133,8
"varon";9,42;24;130,6
"hembra";9,42;27;128,5
"varon";9,42;31;134,3
"hembra";9,42;32;137,2
"hembra";9,42;29;128
"hembra";9,42;36;138,1
"varon";9,42;25;123,8
"varon";9,42;57,5;152,2
"hembra";9,42;31;132
"varon";9,42;33;135,2
"hembra";9,42;30;136,8
"varon";9,42;25;130,2
"varon";9,5;26;135,9
"varon";9,5;27,5;132,5
"hembra";9,5;32;142,6
"varon";9,5;33;137,3
"varon";9,5;31,5;135,4
"varon";9,5;28,5;129,1
"varon";9,5;35;143,7
"hembra";9,5;37;133,7
"varon";9,5;22;127,9
"varon";9,5;36;143,2
"hembra";9,5;36;138,2
"hembra";9,5;26;125,5
"varon";9,58;23,5;129
"hembra";9,58;44,5;134,5
"hembra";9,58;30;133
"hembra";9,58;34,5;136
"hembra";9,58;28;139,4
"varon";9,58;34,5;142,5
"varon";9,58;25;135,2
"hembra";9,58;38,5;129,5
"hembra";9,58;26;132,2
"hembra";9,58;29;131,5
"varon";9,58;25;145
"varon";9,58;26;133,2
"varon";9,58;24;128
"hembra";9,58;23;130
"hembra";9,58;32;138,5
"varon";9,67;33,5;147,7
"hembra";9,67;26,6;132,2
"varon";9,67;29,5;138,3
"varon";9,67;30,5;132,4
"varon";9,67;34;147,2
"varon";9,67;32;134,5
"varon";9,67;31;143
"hembra";9,67;32;131,3
"hembra";9,67;17,5;121
"hembra";9,67;23;127,6
"varon";9,67;27;131,8
"varon";9,67;39;135,8
"varon";9,67;42;150,9
"varon";9,75;30;140,6
"hembra";9,75;32,5;137,2
"varon";9,75;25;135
"hembra";9,75;23;126,2
"hembra";9,75;29;136,8
"varon";9,75;31;140,5
"hembra";9,75;31;135,8
"varon";9,75;29,5;139,4
"hembra";9,75;35,5;135
"hembra";9,75;32;137,5
"hembra";9,75;33;126,5
"varon";9,75;25;132,8
"hembra";9,75;34;142,6
"hembra";9,83;29;141,8
"varon";9,83;38;137,9
"varon";9,83;51;155,4
"varon";9,83;31;140,1
"hembra";9,83;30;135,6
"hembra";9,83;25;130,5
"hembra";9,83;37,5;139,1
"hembra";9,83;30;135,4
"varon";9,83;30,5;138,9
"varon";9,83;27;130,4
"varon";9,83;38,5;140,7
"varon";9,83;33;138,7
"hembra";9,83;31;135
"hembra";9,83;38;135,2
"hembra";9,83;31,5;136,8
"varon";9,83;33,5;137
"varon";9,83;37;140,9
"varon";9,83;36,5;144,8
"hembra";9,83;40,5;144,4
"hembra";9,83;33;136,2
"hembra";9,92;31;134,2
"varon";9,92;27;133
"hembra";9,92;37;140,5
"hembra";9,92;27;139,4
"varon";9,92;35;139,4
"varon";9,92;32;145
"hembra";9,92;25;135,5
"varon";9,92;20;122,9
"varon";9,92;34;146
"hembra";9,92;36,5;142
"varon";9,92;34,5;142,1
"varon";9,92;32;128,4
"varon";9,92;39,5;149,1
"hembra";9,92;29,5;136,2
"varon";9,92;33,5;138,3
"hembra";9,92;32;140,5
"hembra";9,92;38,5;144,7
"hembra";9,92;29,5;139,3
"hembra";9,92;28,5;136,4
"hembra";10;30;128,4
"varon";10;24;129,8
"hembra";10;34,5;134,5
"hembra";10;36;146,2
"hembra";10;25;135,5
"varon";10;26;132,4
"varon";10;32;132,8
"varon";10;32,5;135,8
"hembra";10;37;140,4
"hembra";10;34;135
"hembra";10;38;137,1
"hembra";10;36,5;144,2
"varon";10;38;127,1
"hembra";10;29,5;126,2
"hembra";10;31,5;142
"varon";10;25;137,2
"varon";10;37;150,3
"varon";10;34;133,3
"varon";10;48,5;147,6
"varon";10;50;140,8
"hembra";10;25;136,8
"varon";10,08;42,5;144,2
"varon";10,08;36,5;140,7
"varon";10,08;35;134,7
"varon";10,08;29,5;140,5
"hembra";10,08;29,5;134,4
"varon";10,08;37,5;144,8
"hembra";10,08;36,5;148,5
"varon";10,08;29;138
"varon";10,08;47;144,1
"hembra";10,08;31;137
"varon";10,08;48;157,1
"varon";10,08;26,5;139,9
"varon";10,08;27,5;137
"varon";10,08;32;138,8
"hembra";10,08;37;132,2
"varon";10,08;51,5;153,5
"varon";10,08;28;132,5
"varon";10,17;31;141,7
"hembra";10,17;31;143,9
"varon";10,17;34;141,1
"varon";10,17;31;134,9
"hembra";10,17;28,5;131
"hembra";10,17;34;133,2
"hembra";10,17;32;138,5
"hembra";10,17;42;143
"hembra";10,17;40;141
"hembra";10,17;33;136,9
"hembra";10,17;34,5;139,6
"hembra";10,17;28,5;136,5
"hembra";10,17;35;140,5
"varon";10,17;40;142,5
"varon";10,17;26,5;133,9
"hembra";10,25;30;136
"hembra";10,25;29;136,5
"varon";10,25;41;146,2
"varon";10,25;38,5;136,9
"varon";10,25;30;137,9
"hembra";10,25;39;144,6
"varon";10,25;34;131,8
"varon";10,25;31;134,5
"varon";10,25;46;146
"hembra";10,25;54;154
"varon";10,25;28;135
"varon";10,25;27;132,3
"hembra";10,33;35,5;133,2
"hembra";10,33;39,5;141,1
"hembra";10,33;45,5;143,6
"varon";10,33;39;148,3
"varon";10,33;40;138,7
"hembra";10,33;41;138,2
"varon";10,33;38;142,2
"hembra";10,33;59,5;168
"hembra";10,33;35;144,2
"hembra";10,33;28,5;136,8
"hembra";10,33;32,5;141
"varon";10,33;39;146
"varon";10,33;23,5;126
"varon";10,33;33;144,2
"hembra";10,42;27;138,6
"varon";10,42;46;150,9
"hembra";10,42;38;137,5
"varon";10,42;39;146,3
"hembra";10,42;32;145
"varon";10,42;40;148,7
"varon";10,42;35;133,8
"varon";10,42;31;146
"hembra";10,42;24;129,2
"varon";10,42;54,5;149,3
"varon";10,42;50;147,7
"varon";10,42;33,5;134,3
"varon";10,42;32;148,9
"hembra";10,5;39;138,3
"varon";10,5;39;135,3
"hembra";10,5;33;131,6
"hembra";10,5;49;140,5
"hembra";10,5;31;128
"hembra";10,5;33,5;138,5
"hembra";10,5;44;149
"varon";10,5;31;138,3
"hembra";10,5;32;131,5
"hembra";10,5;28,5;141,9
"hembra";10,5;30;138,2
"hembra";10,5;42;133,5
"hembra";10,58;31;149
"hembra";10,58;30;136,1
"varon";10,58;39,5;146,5
"hembra";10,58;32;131,5
"varon";10,58;50;148,1
"hembra";10,58;51,5;151,4
"varon";10,58;46,5;150,4
"varon";10,58;30;132
"hembra";10,58;25,5;131
"hembra";10,58;35,5;141,5
"varon";10,58;26;132,2
"varon";10,58;38;134
"varon";10,58;49;137,9
"varon";10,67;31;133,9
"varon";10,67;30;140,5
"varon";10,67;33;142,5
"hembra";10,67;40;134,8
"varon";10,67;36;146,3
"varon";10,67;38;146,4
"varon";10,67;46;145,9
"hembra";10,67;44,5;142,7
"varon";10,67;43;142,9
"hembra";10,67;34;142,9
"hembra";10,67;30,5;138
"hembra";10,67;62;164,5
"hembra";10,67;42,5;145,6
"varon";10,67;32;138,4
"hembra";10,75;35,5;148,5
"varon";10,75;36,5;144,7
"varon";10,75;30;136,8
"varon";10,75;31;143,7
"hembra";10,75;34,5;148,9
"hembra";10,75;42;143,4
"hembra";10,75;36;144,6
"varon";10,75;32,5;137,3
"hembra";10,75;36,5;144,8
"varon";10,75;36;147,9
"hembra";10,75;52,5;145
"hembra";10,75;50;137,5
"hembra";10,75;35;132,3
"varon";10,75;36,5;139,4
"varon";10,75;41;150,6
"varon";10,75;35;147,1
"varon";10,75;31;137,9
"varon";10,75;28;138,3
"hembra";10,75;44,5;151,8
"varon";10,75;32,5;140,8
"varon";10,83;35;145,5
"hembra";10,83;44;138,4
"varon";10,83;31;137,7
"varon";10,83;51;149,7
"varon";10,83;28;139,6
"hembra";10,83;32;147,3
"hembra";10,83;29;135,4
"varon";10,83;33,5;145,3
"hembra";10,83;32,5;145,8
"hembra";10,83;30;138,3
"hembra";10,83;31,5;149
"varon";10,83;36,5;148,9
"varon";10,83;26;136,6
"varon";10,83;35;135,6
"varon";10,83;41;148,6
"hembra";10,83;38;142
"hembra";10,83;39;151,4
"hembra";10,83;45;146
"hembra";10,83;40,5;143,5
"hembra";10,83;36,5;138
"hembra";10,92;41,5;141,5
"hembra";10,92;43,5;143,9
"varon";10,92;28;138,7
"varon";10,92;48;150,3
"varon";10,92;34;136,6
"varon";10,92;34;145,6
"varon";10,92;39;141,9
"hembra";10,92;44;148
"varon";10,92;31,5;142,9
"hembra";10,92;48;151,5
"varon";10,92;29;130,9
"hembra";10,92;36,5;142,1
"varon";10,92;34;139,4
"varon";11;43;149,2
